iter	Passed	Remaining
1533	338089	102705
1534	338323	102488
1535	338594	102283
1536	338984	102114
1537	339248	101907
1538	339484	101690
1539	339727	101476
1540	340064	101290
1541	340308	101077
1542	340489	100845
1543	340751	100636
1544	340944	100407
1545	341276	100219
1546	341507	100001
1547	341699	99772
1548	341960	99563
1549	342150	99334
1550	342317	99097
1551	342603	98895
1552	342800	98668
1553	342988	98438
1554	343240	98226
1555	343434	97997
1556	343730	97798
1557	343936	97573
1558	344105	97338
1559	344339	97121
1560	344581	96906
1561	344806	96687
1562	345063	96476
1563	345278	96253
1564	345476	96027
1565	345730	95815
1566	346040	95619
1567	346297	95408
1568	346535	95192
1569	346785	94979
1570	346985	94752
1571	347161	94519
1572	347439	94314
1573	347639	94087
1574	347903	93878
1575	348097	93650
1576	348310	93427
1577	348632	93233
1578	348772	92991
1579	348945	92757
1580	349131	92527
1581	349320	92298
1582	349500	92066
1583	349953	91906
1584	350199	91692
1585	350387	91463
1586	350599	91239
1587	350851	91026
1588	351066	90804
1589	351405	90613
1590	351623	90392
1591	351835	90168
1592	352030	89941
1593	352225	89713
1594	352514	89509
1595	352714	89283
1596	352957	89068
1597	353173	88845
1598	353364	88617
1599	353710	88427
1600	353951	88211
1601	354129	87979
1602	354338	87755
1603	354538	87529
1604	354730	87301
1605	355094	87115
1606	355301	86890
1607	355502	86664
1608	355654	86426
1609	355832	86195
1610	356065	85977
1611	356406	85785
1612	356648	85569
1613	356924	85361
1614	357144	85139
1615	357500	84950
1616	357690	84722
1617	357881	84493
1618	358072	84265
1619	358262	84036
1620	358437	83804
1621	358747	83604
1622	358920	83372
1623	359110	83143
1624	359339	82924
1625	359534	82697
1626	359857	82499
1627	360124	82288
1628	360292	82055
1629	360455	81821
1630	360640	81591
1631	360865	81371
1632	361168	81168
1633	361418	80954
1634	361605	80725
1635	361780	80493
1636	361973	80266
1637	362158	80037
1638	362457	79833
1639	362689	79614
1640	362880	79387
1641	363087	79162
1642	363361	78953
1643	363736	78765
1644	364035	78560
1645	364250	78338
1646	364449	78112
1647	364639	77884
1648	364823	77654
1649	365341	77496
1650	365533	77269
1651	365696	77035
1652	365885	76807
1653	366047	76573
1654	366356	76370
1655	366629	76159
1656	366813	75930
